Nome paese,Capitale distanza da Roma,Continente/regione,Valuta,Lingue officiali,Salario medio mensile lordo in euro (2022-2024),Salario mediano mensile lordo in euro (2022-2024),RAL media in euro (2024),% delle tasse dalla RAL media Salary After Tax,Crescita annuale nominale (%) riverede i dati,Crescita annuale reale (%),"Indicizzazione stipendi: si =1, no =0",Salario minimo 2025,Valore del mercato IT Euro,Indice potere di acquisto 2025 mid-year (Numbeo),Indice del costo della vita 2025 mid-year (Numbeo),Indice del costo dell'affitto 2025 mid-year (Numbeo),Indice della sicurezza 2025 mid-year (Numbeo),Indice qualita della vita  2025 mid-year (Numbeo),Indice di qualita della sanita 2025 mid-year (Numbeo),"Sanita: pubblica = 1, privata =0, mista = 0.1",English Proficiency Score 2024 (EF EPI),Indice di felicita Happy Planet Index
Belgio,Bruxelles 1173km,EU,EUR,"Olandese (58 %), Francese (40 %)",4076 €  1 (2022),3728 €  2,48912 relocate.me,32.7%,0.8% 3,-1% 4 news,1,"12,82 EUR 2","21,61 miliardi (2023) 4",131,63.6,22.8,50.5,173.7,75.8,1,592,38.9
Danimarca,Copenaghen 1532km,EU,DKK,Danese,6508€  (48572 DKK) 1 (2023),,53000 (395500 DKK) relocate.me,33.5%,4.8% 3,3.3% 4,0,No salario minimo (contratti collettivi),"14,06 miliardi (2023) 4",152.7,74.1,28.8,74,215.1,78.3,1,603,53
Finlandia,Helsinki 2201km,EU,EUR,"Finlandese (87 %), Svedese (5 %)",4107 1,3289 €  1 (2024),48384 relocate.me,40.6%,2.7% 3,-0.9% 4 news,0,No salario minimo,"12,03 miliardi (2023) 4",142.9,64.5,21.1,73.5,208.3,77.4,1,590,49.8
Irlanda,Dublino 1886km,EU,EUR,Inglese,4446 €  1 (Q1 2025),,50085 relocate.me,20.7%,5.6% 3,2.2% 4,0,"13,50 EUR 2","17,25 miliardi (2023) 4",122.2,66.6,44.7,51.4,169.6,51.5,1,1000,47.7
Italia,Roma 0km,EU,EUR,Italiano,2869 € 1 (2022),2503 2,37511€ 3,35.9%,4.2% 5,-1.6% 6,0,No salario minimo (contratti collettivi),"63,75 miliardi (2023) 4",96,57.2,20.2,52.6,154.4,64.9,1,528,49.6
Lussemburgo,Lussemburgo 988km,EU,EUR,"Francese (70 %), Tedesco (75 %)",6326 €  1 (2022),,75919 3,31.7%,2.5% 3,-0.4% 4,1,"18,75 EUR 2",5.1 milliardi 4,183.1,73.5,48,66,218.2,75.1,1,576,24.6
Norveggia,Oslo 2006km,Europa,NOK,Norvegese,5157€  (59370 NOK) 1,4917 (57200 NOK) 2,48638 (564000 NOK) 3,34%,5.3% 3,1.9% 4,0,No salario minimo (contratti collettivi),"13,90 miliardi (2023) 4",133.3,78.9,28.2,67.2,199.2,75.8,1,610,50.5
Olanda,Amsterdam 1296km,EU,EUR,Olandese,3116 € 1 (2022),,44000 relocate.me,18.7%,6.6% 3,-,1,"14,40 EUR 2","38,47 miliardi (2023) 4",144.5,68.1,37.4,74.2,216.5,78.3,0,636,50.7
Svezia,Stoccolma 1976km,EU,SEK,Svedese,3291€  (36100 SEK) 1 (2024),,36821 (417600 SEK) relocate.me,20.7%,4.5% 3,1.5% 4,0,No salario minimo (contratti collettivi),"23,41 miliardi (2023) 4",144.7,62.8,21.8,51.9,192.2,68.6,1,608,55.9
Svizzera,Berna 689km,Europa,CHF,"Tedesco (62 %), Francese (23 %), Italiano (8 %)",7223€ (6788 CHF) 1,7223€ (6788 CHF) 1,76251€ (71600 CHF) 2,20.2%,1.8% 3,0.7% 4,0,23.40 EUR (CHF 22)  2,"30,38 miliardi (2023) 4",183.5,106.8,50.6,73.3,210.9,70.8,0,550,42.9
